symbol,buy_time,buy_datetime,buy_price,sell_time,sell_datetime,sell_price,profit_pct,hold_hours
APTUSDT,1728751499999,2024-10-12 16:44:59,9.5416,1728752399999,2024-10-12 16:59:59,9.4727,-0.7221011151169727,0.25
APTUSDT,1732094999999,2024-11-20 09:29:59,12.727,1732101299999,2024-11-20 11:14:59,12.5557,-1.3459574133731471,1.75
ARBUSDT,1748485799999,2025-05-29 02:29:59,0.4361,1748508299999,2025-05-29 08:44:59,0.4223,-3.164411832148585,6.25
ARUSDT,1667433599999,2022-11-02 23:59:59,11.258,1667479499999,2022-11-03 12:44:59,14.774,31.23112453366495,12.75
ARUSDT,1668563099999,2022-11-16 01:44:59,10.402,1668583799999,2022-11-16 07:29:59,9.78,-5.9796193039800025,5.75
ARUSDT,1700350199999,2023-11-18 23:29:59,7.981,1700352899999,2023-11-19 00:14:59,7.879,-1.2780353339180592,0.75
ARUSDT,1715777999999,2024-05-15 12:59:59,43.546,1715811299999,2024-05-15 22:14:59,44.15,1.387038993248517,9.25
ARUSDT,1717080299999,2024-05-30 14:44:59,43.78,1717118999999,2024-05-31 01:29:59,42.76,-2.3298309730470605,10.75
ASRUSDT,1754608499999,2025-08-07 23:14:59,7.503,1754653499999,2025-08-08 11:44:59,7.422,-1.0795681727309132,12.5
ATOMUSDT,1702386899999,2023-12-12 13:14:59,11.698,1702403099999,2023-12-12 17:44:59,11.394,-2.598734826466065,4.5
AVAXUSDT,1648417499999,2022-03-27 21:44:59,88.39,1648503899999,2022-03-28 21:44:59,92.21,4.321755854734691,24.0
AVAXUSDT,1689278399999,2023-07-13 19:59:59,14.086,1689283799999,2023-07-13 21:29:59,13.792,-2.0871787590515436,1.5
AVAXUSDT,1710150299999,2024-03-11 09:44:59,44.808,1710224099999,2024-03-12 06:14:59,48.214,7.601321192644169,20.5
AXLUSDT,1721529899999,2024-07-21 02:44:59,0.7942,1721532599999,2024-07-21 03:29:59,0.7848,-1.1835809619743092,0.75
AXLUSDT,1728671399999,2024-10-11 18:29:59,0.679,1728772199999,2024-10-12 22:29:59,0.8234,21.266568483063324,28.0
AXLUSDT,1730186099999,2024-10-29 07:14:59,0.7895,1730186999999,2024-10-29 07:29:59,0.7921,0.32932235592147524,0.25
AXLUSDT,1731785399999,2024-11-16 19:29:59,0.7944,1731802499999,2024-11-17 00:14:59,0.7705,-3.008559919436056,4.75
AXLUSDT,1734290999999,2024-12-15 19:29:59,0.9958,1734291899999,2024-12-15 19:44:59,0.9728,-2.3097007431211107,0.25
AXLUSDT,1746619199999,2025-05-07 11:59:59,0.3664,1746629099999,2025-05-07 14:44:59,0.3661,-0.08187772925764805,2.75
AXSUSDT,1648860299999,2022-04-02 00:44:59,71.1,1648880099999,2022-04-02 06:14:59,70.79,-0.4360056258790268,5.5
AXSUSDT,1690684199999,2023-07-30 02:29:59,6.309,1690702199999,2023-07-30 07:29:59,6.247,-0.9827230939927132,5.0
AXSUSDT,1704938399999,2024-01-11 01:59:59,8.627,1704953699999,2024-01-11 06:14:59,8.265,-4.196128433986323,4.25
AXSUSDT,1717278299999,2024-06-01 21:44:59,8.033,1717280099999,2024-06-01 22:14:59,7.962,-0.8838541018299482,0.5
AXSUSDT,1729298699999,2024-10-19 00:44:59,5.234,1729334699999,2024-10-19 10:44:59,5.123,-2.120748949178444,10.0
AXSUSDT,1755877499999,2025-08-22 15:44:59,2.394,1755917099999,2025-08-23 02:44:59,2.437,1.7961570593149419,11.0
AXSUSDT,1756600199999,2025-08-31 00:29:59,2.472,1756637999999,2025-08-31 10:59:59,2.568,3.8834951456310716,10.5
B2USDT,1754567099999,2025-08-07 11:44:59,0.4061,1754587799999,2025-08-07 17:29:59,0.3945,-2.8564393006648605,5.75
B2USDT,1756719899999,2025-09-01 09:44:59,0.396,1756726199999,2025-09-01 11:29:59,0.3822,-3.4848484848484933,1.75
BAKEUSDT,1650509099999,2022-04-21 02:44:59,0.9181,1650558599999,2022-04-21 16:29:59,0.9308,1.3832915804378536,13.75
BAKEUSDT,1676199599999,2023-02-12 10:59:59,0.2429,1676205899999,2023-02-12 12:44:59,0.2361,-2.7995059695347884,1.75
BAKEUSDT,1692875699999,2023-08-24 11:14:59,0.107,1692925199999,2023-08-25 00:59:59,0.1023,-4.392523364485978,13.75
BAKEUSDT,1700504999999,2023-11-20 18:29:59,0.1503,1700505899999,2023-11-20 18:44:59,0.1484,-1.264138389886883,0.25
BAKEUSDT,1701794699999,2023-12-05 16:44:59,0.2901,1701843299999,2023-12-06 06:14:59,0.2932,1.0685970355049952,13.5
BAKEUSDT,1702955699999,2023-12-19 03:14:59,0.2653,1702971899999,2023-12-19 07:44:59,0.2542,-4.183942706370146,4.5
BAKEUSDT,1711084499999,2024-03-22 05:14:59,0.4342,1711086299999,2024-03-22 05:44:59,0.435,0.18424689083372248,0.5
BAKEUSDT,1718194499999,2024-06-12 12:14:59,0.3329,1718226899999,2024-06-12 21:14:59,0.3527,5.947732051667179,9.0
BAKEUSDT,1748335499999,2025-05-27 08:44:59,0.1411,1748338199999,2025-05-27 09:29:59,0.1398,-0.9213323883770344,0.75
BAKEUSDT,1757484899999,2025-09-10 06:14:59,0.0898,1757526299999,2025-09-10 17:44:59,0.1065,18.596881959910906,11.5
BANKUSDT,1752858899999,2025-07-18 17:14:59,0.089753,1752866099999,2025-07-18 19:14:59,0.065752,-26.74116742615845,2.0
BANKUSDT,1754540099999,2025-08-07 04:14:59,0.058816,1754551799999,2025-08-07 07:29:59,0.05746,-2.3054951033732367,3.25
BANKUSDT,1758356999999,2025-09-20 08:29:59,0.10874,1758358799999,2025-09-20 08:59:59,0.09592,-11.789589847342283,0.5
BANKUSDT,1760710499999,2025-10-17 14:14:59,0.15369,1760711399999,2025-10-17 14:29:59,0.14977,-2.5505888476804,0.25
BANKUSDT,1763029799999,2025-11-13 10:29:59,0.10554,1763030699999,2025-11-13 10:44:59,0.08961,-15.093803297328028,0.25
BATUSDT,1659701699999,2022-08-05 12:14:59,0.426,1659703499999,2022-08-05 12:44:59,0.422,-0.9389671361502356,0.5
BATUSDT,1676382299999,2023-02-14 13:44:59,0.2948,1676384099999,2023-02-14 14:14:59,0.2873,-2.5440976933514268,0.5
BATUSDT,1690114499999,2023-07-23 12:14:59,0.207,1690116299999,2023-07-23 12:44:59,0.2068,-0.09661835748791206,0.5
BATUSDT,1696790699999,2023-10-08 18:44:59,0.1809,1696815899999,2023-10-09 01:44:59,0.1791,-0.9950248756218882,7.0
BATUSDT,1697329799999,2023-10-15 00:29:59,0.1771,1697368499999,2023-10-15 11:14:59,0.1746,-1.4116318464144562,10.75
BATUSDT,1735023599999,2024-12-24 06:59:59,0.2389,1735085699999,2024-12-25 00:14:59,0.2749,15.069066555043943,17.25
BATUSDT,1755324899999,2025-08-16 06:14:59,0.1675,1755330299999,2025-08-16 07:44:59,0.1657,-1.074626865671656,1.5
BATUSDT,1761532199999,2025-10-27 02:29:59,0.1856,1761545699999,2025-10-27 06:14:59,0.1791,-3.5021551724137816,3.75
BATUSDT,1761982199999,2025-11-01 07:29:59,0.1785,1762043399999,2025-11-02 00:29:59,0.1877,5.154061624649868,17.0
BCHUSDT,1658979899999,2022-07-28 03:44:59,135.86,1659054599999,2022-07-29 00:29:59,148.78,9.509789489180028,20.75
BCHUSDT,1661245199999,2022-08-23 08:59:59,128.41,1661309099999,2022-08-24 02:44:59,132.29,3.0215715286971383,17.75
BCHUSDT,1670216399999,2022-12-05 04:59:59,113.82,1670253299999,2022-12-05 15:14:59,113.16,-0.5798629414865548,10.25
BCHUSDT,1691402399999,2023-08-07 09:59:59,239.04,1691422199999,2023-08-07 15:29:59,233.9,-2.1502677376171295,5.5
BCHUSDT,1703671199999,2023-12-27 09:59:59,255.22,1703768399999,2023-12-28 12:59:59,266.17,4.290416111590008,27.0
BCHUSDT,1728912599999,2024-10-14 13:29:59,340.63,1728990899999,2024-10-15 11:14:59,363.8,6.802101987493766,21.75
BCHUSDT,1752821999999,2025-07-18 06:59:59,538.65,1752848999999,2025-07-18 14:29:59,517.82,-3.8670750951452573,7.5
BCHUSDT,1754321399999,2025-08-04 15:29:59,577.85,1754322299999,2025-08-04 15:44:59,574.04,-0.6593406593406695,0.25
BCHUSDT,1755876599999,2025-08-22 15:29:59,597.12,1755916199999,2025-08-23 02:29:59,591.23,-0.9864013933547673,11.0
BCHUSDT,1764512099999,2025-11-30 14:14:59,558.05,1764517499999,2025-11-30 15:44:59,552.07,-1.0715885673326593,1.5
BIOUSDT,1754552699999,2025-08-07 07:44:59,0.06508,1754624699999,2025-08-08 03:44:59,0.08794,35.12599877074371,20.0
BIOUSDT,1755457199999,2025-08-17 18:59:59,0.12271,1755485099999,2025-08-18 02:44:59,0.12383,0.9127210496292039,7.75
BIOUSDT,1757093399999,2025-09-05 17:29:59,0.15703,1757150999999,2025-09-06 09:29:59,0.17241,9.794306820352801,16.0
BIOUSDT,1757768399999,2025-09-13 12:59:59,0.16615,1757809799999,2025-09-14 00:29:59,0.16696,0.4875112849834518,11.5
BLZUSDT,1661304599999,2022-08-24 01:29:59,0.09723,1661427899999,2022-08-25 11:44:59,0.14289,46.96081456340635,34.25
BLZUSDT,1667449799999,2022-11-03 04:29:59,0.08354,1667450699999,2022-11-03 04:44:59,0.08215,-1.6638735934881521,0.25
BLZUSDT,1676478599999,2023-02-15 16:29:59,0.09827,1676549699999,2023-02-16 12:14:59,0.10673,8.608934568026875,19.75
BLZUSDT,1689274799999,2023-07-13 18:59:59,0.06051,1689326999999,2023-07-14 09:29:59,0.06053,0.033052388035034186,14.5
BLZUSDT,1693786499999,2023-09-04 00:14:59,0.12736,1693790099999,2023-09-04 01:14:59,0.12825,0.698806532663318,1.0
BLZUSDT,1698588899999,2023-10-29 14:14:59,0.23098,1698589799999,2023-10-29 14:29:59,0.23127,0.1255519958438014,0.25
BLZUSDT,1702412099999,2023-12-12 20:14:59,0.30702,1702420199999,2023-12-12 22:29:59,0.28906,-5.849781773174396,2.25
BLZUSDT,1702655099999,2023-12-15 15:44:59,0.30371,1702658699999,2023-12-15 16:44:59,0.29588,-2.5781172829343797,1.0
BLZUSDT,1704298499999,2024-01-03 16:14:59,0.36244,1704300299999,2024-01-03 16:44:59,0.35072,-3.2336386712283436,0.5
BLZUSDT,1726711199999,2024-09-19 01:59:59,0.14633,1726748099999,2024-09-19 12:14:59,0.1395,-4.667532290029369,10.25
