timestamp,datetime,symbol,price,boll_15m_upper,boll_30m_middle,boll_4h_middle,current_oi,min_oi_3d,volume_ratio
1611595799999,2021-01-25 17:29:59,THETAUSDT,2.2144,2.114600906891344,1.9671822500000002,1.2886424999999988,0.0,0.0,2.118764480842456
1611596699999,2021-01-25 17:44:59,THETAUSDT,2.2034,2.11732520149055,1.9671822500000002,1.2886424999999988,0.0,0.0,2.118764480842456
1611597599999,2021-01-25 17:59:59,THETAUSDT,2.2206,2.120332105940057,1.9678707500000001,1.2886424999999988,0.0,0.0,2.118764480842456
1611598499999,2021-01-25 18:14:59,THETAUSDT,2.2221,2.1233217845209533,1.9678707500000001,1.2886424999999988,0.0,0.0,2.118764480842456
1612238399999,2021-02-02 03:59:59,THETAUSDT,2.1665,2.1134637078512597,2.0453497499999984,1.4418097499999991,0.0,0.0,1.6735368049153276
1612239299999,2021-02-02 04:14:59,THETAUSDT,2.1932,2.1156044331044055,2.0453497499999984,1.4418097499999991,0.0,0.0,1.6735368049153276
1612240199999,2021-02-02 04:29:59,THETAUSDT,2.1758,2.1173520537150687,2.0460389999999986,1.4418097499999991,0.0,0.0,1.6735368049153276
1612241099999,2021-02-02 04:44:59,THETAUSDT,2.1743,2.1190449705140337,2.0460389999999986,1.4418097499999991,0.0,0.0,1.6735368049153276
1612241999999,2021-02-02 04:59:59,THETAUSDT,2.2056,2.1212723121187507,2.0467897499999985,1.4418097499999991,0.0,0.0,1.6735368049153276
1612242899999,2021-02-02 05:14:59,THETAUSDT,2.1734,2.122828642325955,2.0467897499999985,1.4418097499999991,0.0,0.0,1.6735368049153276
1612243799999,2021-02-02 05:29:59,THETAUSDT,2.1554,2.1240800268934406,2.0474024999999982,1.4418097499999991,0.0,0.0,1.6735368049153276
1612244699999,2021-02-02 05:44:59,THETAUSDT,2.1439,2.1251494912575604,2.0474024999999982,1.4418097499999991,0.0,0.0,1.6735368049153276
1612245599999,2021-02-02 05:59:59,THETAUSDT,2.1375,2.126123566142746,2.047939749999999,1.4418097499999991,0.0,0.0,1.6735368049153276
1612246499999,2021-02-02 06:14:59,THETAUSDT,2.1366,2.1270434370903755,2.047939749999999,1.4418097499999991,0.0,0.0,1.6735368049153276
1612247399999,2021-02-02 06:29:59,THETAUSDT,2.1432,2.12792151024637,2.0484897499999986,1.4418097499999991,0.0,0.0,1.6735368049153276
1612248299999,2021-02-02 06:44:59,THETAUSDT,2.1605,2.128811695515098,2.0484897499999986,1.4418097499999991,0.0,0.0,1.6735368049153276
1612249199999,2021-02-02 06:59:59,THETAUSDT,2.1506,2.1298042997087236,2.049051249999999,1.4418097499999991,0.0,0.0,1.6735368049153276
1612250099999,2021-02-02 07:14:59,THETAUSDT,2.1691,2.1310614615453076,2.049051249999999,1.4418097499999991,0.0,0.0,1.6735368049153276
1612250999999,2021-02-02 07:29:59,THETAUSDT,2.1836,2.132646704817154,2.049670499999999,1.4418097499999991,0.0,0.0,1.6735368049153276
1612251899999,2021-02-02 07:44:59,THETAUSDT,2.1751,2.134217867014492,2.049670499999999,1.4418097499999991,0.0,0.0,1.6735368049153276
1617767999999,2021-04-07 03:59:59,THETAUSDT,12.5668,12.319791294502483,12.058497749999992,6.093251750000002,0.0,0.0,1.0530050965130864
1617768899999,2021-04-07 04:14:59,THETAUSDT,12.4487,12.325837733843704,12.058497749999992,6.093251750000002,0.0,0.0,1.0530050965130864
